OSEBuildingID,DataYear,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,OHE_Campus,OHE_Multifamily,OHE_NonResidential,OHE_SPS-District K-12,OHE_Autres_Neighborhood,OHE_BALLARD,OHE_CENTRAL,OHE_DELRIDGE NEIGHBORHOODS,OHE_DOWNTOWN,OHE_EAST,OHE_GREATER DUWAMISH,OHE_LAKE UNION,OHE_MAGNOLIA / QUEEN ANNE,OHE_NORTH,OHE_NORTHEAST,OHE_NORTHWEST,OHE_SOUTHEAST,OHE_SOUTHWEST,OHE_Autres_LargestPropertyUseType,OHE_Distribution Center,OHE_Hotel,OHE_K-12 School,OHE_Multifamily Housing,OHE_Non-Refrigerated Warehouse,OHE_Office,OHE_Other,OHE_Retail Store,OHE_Worship Facility,OHE_Autres_ComplianceStatus,OHE_Compliant,OHE_Not Compliant,OHE_Account Requires Verification,OHE_Autres_ComplianceIssue,OHE_No Issue,OHE_Portfolio Manager Account Not Shared,TotalGHGEmissions,SiteEnergyUse(kBtu)
29310.0,2019.0,4.0,21200.0,0.0,97.0,20.3,430756.0,56.9,21200.0,430755.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2.7,430756.0
29312.0,2019.0,4.0,21200.0,0.0,98.0,19.8,419020.0,55.3,21200.0,419020.0,0.0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2.6,419938.0
29315.0,2019.0,4.0,20365.0,0.0,90.4,25.0,509359.0,70.0,20365.0,509359.0,0.0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.1,515110.0
29390.0,2019.0,8.0,43645.0,0.0,78.6,36.1,1773587.0,83.3,41615.0,1298370.0,65351.0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,476.9,10301922.0
29448.0,2019.0,4.0,43645.0,0.0,99.0,31.2,1769989.0,72.7,45834.0,1297613.0,472376.0,0.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,33.1,1780200.0
29550.0,2019.0,4.0,43645.0,0.0,87.0,49.6,1773587.0,83.3,41615.0,1145137.0,0.0,0.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,82.0,13297926.0
29551.0,2019.0,4.0,43645.0,0.0,72.0,36.1,1773587.0,83.3,61665.0,1145137.0,0.0,0.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,22.9,3756459.0
29552.0,2019.0,4.0,43645.0,0.0,74.0,45.4,1773587.0,83.3,41615.0,1145137.0,0.0,0.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,78.7,12769580.0
29612.0,2019.0,3.0,43645.0,0.0,79.0,38.5,1773587.0,57.2,41615.0,1232589.0,338864.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,206.1,5109605.0
29788.0,2019.0,5.0,54015.0,0.0,77.0,48.6,2675735.0,83.3,55105.0,1145137.0,0.0,0.3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,16.5,2675735.0
